dataset,diff
15828_4,0.66
14902_0,0.6
12076_0,0.08
27174_5,0.12
10701_22,0.2
16855_1,0.48
19485_1,0.66
27305_1,0.19
15730_0,0.06
15232_3,0.32
17392_0,0.7
21328_1,0.0
17896_29,0.01
18062_3,0.2
648_0,0.21
18303_3,0.08
14643_3,0.45
20250_7,0.07
12093_13,0.27
2246_0,0.66
14299_7,0.62
17422_0,0.0
18438_0,0.42
11876_0,0.06
25812_1,0.01
20848_0,0.68
15125_4,0.26
16855_0,0.54
11550_0,0.57
18850_1,0.02
17896_30,0.03
28000_24,0.62
20382_10,0.47
22055_0,0.49
15021_7,0.61
16100_1,0.5
27235_0,0.66
27550_0,0.47
22442_2,0.15
10541_0,0.54
20860_0,0.11
23742_0,0.55
11205_0,0.53
15828_3,0.07
10195_0,0.27
634_1,0.64
12200_2,0.16
17642_1,0.01
17935_5,0.04
16300_1,0.2
10644_0,0.59
9983_0,0.36
17621_6,0.44
20429_0,0.03
576_0,0.05
12132_0,0.53
23626_0,0.48
27174_1,0.15
16770_0,0.0
12677_0,0.28
20382_0,0.65
16282_2,0.45
18702_0,0.69
10241_2,0.21
10100_1,0.44
19439_0,0.48
10821_0,0.28
15676_0,0.12
11502_3,0.0
14419_3,0.6
17896_10,0.03
16461_3,0.63
21894_0,0.6
12816_0,0.6
20048_0,0.0
14901_0,0.66
11908_0,0.27
26850_0,0.21
10021_1,0.24
18012_4,0.68
12410_33,0.44
14534_1,0.0
20948_0,0.49
16106_0,0.73
10927_0,0.01
13903_1,0.49
21390_1,0.58
23587_0,0.27
15518_0,0.22
20320_0,0.54
10295_1,0.7
11204_0,0.64
19171_19,0.47
18202_18,0.71
16539_2,0.12
28000_6,0.17
17594_13,0.61
19019_1,0.67
25906_1,0.51
15723_6,0.02
27583_1,0.18
18716_0,0.15
378_3,0.39
14391_1,0.03
12410_19,0.27
17621_5,0.06
16145_2,0.42
14038_7,0.35
10310_1,0.23
10268_4,0.63
17555_0,0.58
12683_0,0.05
10166_0,0.08
13673_2,0.41
12410_11,0.03
16439_5,0.05
20817_1,0.38
22070_0,0.45
9996_0,0.5
14444_1,0.27
11490_1,0.55
20109_3,0.16
10113_0,0.05
14604_2,0.76
21897_4,0.58
18310_1,0.66
17488_0,0.02
15515_2,0.54
19104_1,0.19
22949_0,0.01
645_0,0.7
17581_0,0.35
21196_1,0.16
10692_0,0.15
2234_0,0.57
15908_3,0.62
11362_0,0.12
13699_2,0.68
14534_14,0.24
11797_0,0.13
12384_0,0.63
19762_0,0.64
13647_1,0.0
15631_1,0.47
19784_2,0.51
18202_25,0.55
10541_2,0.61
11747_0,0.69
28000_25,0.03
13356_11,0.67
314_0,0.02
10749_0,0.4
10963_1,0.75
18202_36,0.61
10582_0,0.57
17774_3,0.48
16203_33,0.06
10273_4,0.72
27247_0,0.01
24143_1,0.23
10199_0,0.0
13596_0,0.66
13385_0,0.12
12741_0,0.01
28399_0,0.51
21150_3,0.35
11468_1,0.67
14945_18,0.63
10259_3,0.48
27325_7,0.7
16313_0,0.08
20782_1,0.49
380_0,0.08
12738_0,0.14
13876_0,0.3
23717_0,0.32
14758_1,0.02
18465_1,0.02
18095_0,0.17
10980_0,0.48
11216_1,0.0
27101_1,0.06
11681_8,0.29
19710_1,0.61
17977_0,0.35
16032_3,0.0
14725_2,0.37
22998_1,0.56
16761_2,0.36
2222_0,0.54
18901_0,0.39
21453_0,0.06
13791_0,0.03
17731_0,0.22
21046_1,0.13
18347_9,0.05
10201_2,0.54
9995_3,0.46
25414_0,0.49
27009_0,0.23
10206_0,0.25
10185_2,0.59
14747_0,0.14
261_0,0.27
13802_1,0.62
21585_0,0.62
19055_6,0.32
14121_0,0.05
15268_0,0.35
19335_1,0.32
18803_0,0.64
10635_2,0.6
12786_6,0.1
10198_3,0.35
19714_14,0.19
13007_0,0.42
12536_0,0.19
20706_0,0.53
11770_0,0.63
10703_8,0.51
19714_37,0.45
23301_0,0.29
15064_1,0.06
19682_0,0.23
14725_7,0.5
23738_1,0.03
10247_1,0.71
17091_0,0.06
14614_0,0.47
14354_16,0.23
16506_0,0.13
2192_2,0.09
23600_0,0.66
10193_0,0.3
15503_0,0.17
24053_0,0.0
16153_1,0.68
14038_13,0.21
10689_1,0.0
20202_2,0.1
23794_0,0.37
16300_0,0.27
10267_5,0.21
10117_3,0.86
14312_9,0.73
16461_7,0.67
19249_0,0.14
12605_1,0.08
19096_0,0.03
12988_0,0.02
22208_1,0.12
10224_1,0.13
21615_4,0.05
21343_1,0.34
660_0,0.3
11796_0,0.12
25737_0,0.71
19692_4,0.15
21156_5,0.25
14312_2,0.47
10080_3,0.38
21537_3,0.6
10170_2,0.27
20202_0,0.56
20124_3,0.06
18829_2,0.6
21594_3,0.0
15828_1,0.19
378_7,0.08
11289_1,0.47
27325_10,0.21
11805_0,0.1
18487_5,0.0
15463_9,0.01
11678_5,0.45
23607_0,0.49
28000_21,0.5
12145_0,0.05
15707_0,0.02
13815_4,0.07
14078_3,0.53
21368_0,0.24
11178_2,0.68
18237_0,0.53
18347_8,0.0
20325_0,0.69
11768_2,0.15
11452_5,0.01
19074_3,0.42
24041_0,0.08
13816_0,0.46
12732_0,0.46
25915_0,0.0
16629_0,0.08
15161_9,0.29
17844_0,0.16
15161_14,0.53
16855_6,0.16
20533_0,0.01
27596_27,0.66
22264_0,0.42
16238_10,0.4
26669_19,0.15
12991_0,0.1
14132_0,0.32
19661_0,0.16
19171_0,0.72
21156_4,0.03
17390_2,0.2
26669_18,0.05
2199_3,0.0
18808_1,0.0
27721_1,0.0
24144_1,0.13
10282_0,0.14
12648_1,0.49
25141_0,0.13
19082_0,0.57
12495_1,0.36
20497_4,0.02
11807_0,0.74
11444_2,0.65
26800_4,0.44
11678_3,0.56
17580_3,0.44
18870_0,0.58
10104_4,0.1
14354_15,0.56
9945_1,0.01
14084_4,0.06
12762_0,0.52
10995_1,0.38
20109_9,0.45
16600_3,0.44
21150_5,0.31
19264_2,0.54
25627_0,0.54
23829_0,0.65
28930_5,0.01
10711_1,0.74
19949_0,0.01
13722_0,0.02
11560_0,0.19
11413_0,0.77
14347_0,0.07
27305_0,0.37
26579_3,0.52
17947_1,0.3
662_0,0.14
25723_6,0.55
10862_0,0.62
25166_0,0.02
16539_1,0.69
28349_1,0.43
24076_0,0.28
562_0,0.02
14377_2,0.24
20987_14,0.01
27689_1,0.67
14018_0,0.48
11303_4,0.58
10398_0,0.13
18540_0,0.0
10705_0,0.02
19544_1,0.44
14394_1,0.0
16392_3,0.09
18144_1,0.65
19623_0,0.61
11376_0,0.35
20557_0,0.15
13512_0,0.5
25256_0,0.02
12265_0,0.7
14876_0,0.26
23477_2,0.4
25399_0,0.69
26786_1,0.35
16236_2,0.17
25381_0,0.0
14541_2,0.57
19113_4,0.58
24325_3,0.29
15835_1,0.65
17935_7,0.01
12165_0,0.5
17769_0,0.33
15512_0,0.0
15463_4,0.0
15688_0,0.0
11453_0,0.41
15135_1,0.01
15701_0,0.5
12410_38,0.15
23786_0,0.29
23356_0,0.6
18685_1,0.06
19505_2,0.46
10050_0,0.68
24057_0,0.58
16662_0,0.09
22431_0,0.63
275_0,0.44
2195_0,0.33
11078_2,0.54
657_0,0.0
19697_1,0.03
11712_3,0.6
28000_3,0.36
12630_5,0.4
15670_0,0.63
21210_0,0.0
25559_0,0.54
10056_0,0.05
19157_1,0.14
10317_0,0.72
15011_1,0.44
25372_0,0.08
11815_0,0.13
16027_1,0.12
12569_2,0.48
28180_0,0.07
19421_0,0.54
15362_0,0.2
2178_1,0.15
16285_2,0.64
15666_0,0.37
11124_1,0.18
20679_0,0.03
25040_3,0.48
28391_5,0.0
19201_0,0.43
10117_1,0.61
22397_0,0.65
15070_3,0.71
25949_0,0.35
20740_0,0.52
13672_3,0.01
10791_1,0.05
22078_1,0.36
10156_1,0.11
23718_0,0.75
21486_3,0.62
21995_2,0.1
19616_2,0.22
24181_0,0.66
10161_1,0.24
25256_1,0.01
25394_1,0.01
658_0,0.06
18437_1,0.57
10703_5,0.49
12414_0,0.53
12444_2,0.53
23575_1,0.57
13658_0,0.61
20495_0,0.67
25585_0,0.01
10246_1,0.42
263_0,0.07
12456_0,0.32
12579_0,0.23
12020_0,0.31
21653_0,0.63
15079_0,0.1
13758_1,0.02
11662_4,0.24
10091_2,0.65
569_1,0.2
20079_1,0.69
20782_0,0.5
22745_0,0.4
10089_1,0.01
12950_0,0.18
686_3,0.6
12122_0,0.57
12900_0,0.0
17024_0,0.1
574_0,0.23
25782_0,0.63
13654_1,0.0
13990_1,0.0
15068_0,0.09
11435_0,0.47
12431_0,0.17
10741_1,0.64
18260_0,0.14
28112_0,0.49
22871_2,0.57
11925_0,0.3
27950_0,0.53
18209_0,0.49
10435_2,0.25
2246_2,0.31
12324_5,0.17
16267_1,0.65
10237_0,0.4
10288_0,0.22
16659_5,0.58
12540_9,0.21
22226_0,0.3
16461_4,0.72
643_1,0.07
14129_1,0.0
20727_1,0.03
10159_0,0.14
28000_14,0.11
12036_2,0.18
15672_1,0.61
9960_1,0.16
18638_4,0.06
18474_0,0.1
13712_2,0.73
19917_0,0.01
13533_3,0.45
23231_0,0.21
14377_5,0.53
20918_1,0.33
16313_12,0.48
2252_1,0.32
19576_0,0.0
27037_3,0.41
10611_5,0.37
16754_0,0.15
16507_4,0.73
10400_1,0.24
20486_1,0.53
10104_0,0.13
555_0,0.02
19782_0,0.61
2225_0,0.67
27325_6,0.27
14299_0,0.59
15885_0,0.08
18258_0,0.34
15742_3,0.27
17935_2,0.04
26628_15,0.63
15631_6,0.0
21486_2,0.63
28053_1,0.02
16238_9,0.54
17154_2,0.01
10295_2,0.58
26669_6,0.36
10438_0,0.53
10400_7,0.07
27986_1,0.23
10045_1,0.68
17816_0,0.17
22988_1,0.43
10060_0,0.05
15522_1,0.21
21213_0,0.01
27509_1,0.04
22812_2,0.61
10454_2,0.53
16878_0,0.34
12806_1,0.23
13540_0,0.01
14676_0,0.0
13859_1,0.51
