dataset,difficulty
15962_0,0.03
20692_1,0.41
12161_1,0.05
18307_0,0.03
15298_0,0.01
19364_3,0.57
22465_0,0.41
21713_0,0.24
10425_3,0.04
18187_1,0.33
2217_2,0.2
17594_23,0.09
11289_2,0.74
10436_9,0.43
10403_0,0.36
15179_5,0.41
12058_0,0.49
16313_16,0.25
12489_0,0.59
27102_0,0.57
21086_0,0.2
11032_5,0.09
12312_12,0.03
15258_0,0.02
14840_2,0.6
20302_0,0.46
12020_0,0.41
15669_5,0.09
12065_0,0.74
23759_0,0.21
19697_1,0.72
11313_0,0.14
21003_0,0.0
20258_2,0.01
12384_5,0.5
22330_0,0.16
10542_1,0.43
11521_2,0.37
10012_0,0.23
27043_1,0.87
15750_4,0.57
13321_0,0.04
17332_0,0.66
20918_0,0.15
18777_1,0.46
19998_0,0.03
16332_0,0.05
18202_58,0.16
21918_0,0.0
13511_0,0.01
11909_0,0.79
13802_1,0.21
23738_1,0.04
18202_64,0.27
18227_0,0.4
12165_5,0.5
15769_0,0.23
15345_0,0.05
28137_0,0.21
13673_3,0.24
22780_1,0.1
17972_7,0.2
21027_1,0.41
19163_0,0.0
26861_0,0.46
25256_7,0.07
21180_3,0.58
18113_9,0.17
16461_6,0.63
21180_2,0.61
16461_7,0.7
15281_0,0.0
18113_8,0.02
26861_1,0.06
25256_6,0.03
21027_0,0.29
17972_6,0.32
27572_0,0.0
22780_0,0.47
13673_2,0.17
18202_65,0.22
15769_1,0.26
12165_4,0.13
18227_1,0.33
26958_0,0.4
23738_0,0.2
18202_71,0.28
21918_1,0.0
18202_59,0.42
16332_1,0.0
19998_1,0.08
15062_2,0.42
21326_0,0.08
20918_1,0.51
22050_0,0.06
12729_0,0.06
18777_0,0.63
19147_0,0.48
21984_0,0.46
21182_0,0.08
27043_0,0.77
27492_0,0.13
12384_4,0.55
10542_0,0.46
14361_0,0.26
13449_1,0.37
20258_3,0.0
19697_0,0.68
15669_4,0.12
14840_3,0.66
16316_0,0.01
12312_13,0.0
2249_0,0.15
11032_4,0.2
16406_0,0.15
12489_1,0.71
10116_0,0.04
15770_0,0.31
16313_17,0.52
12058_1,0.6
27102_1,0.51
17594_22,0.12
2217_3,0.18
18187_0,0.33
15179_4,0.28
10436_8,0.41
11289_3,0.83
14018_0,0.42
21944_0,0.37
11217_0,0.68
11274_3,0.53
10217_0,0.47
12788_1,0.34
22465_1,0.17
20206_0,0.43
15962_1,0.04
20692_0,0.54
26767_23,0.0
28360_17,0.59
13609_0,0.03
656_0,0.01
27965_0,0.2
13158_4,0.54
21473_0,0.0
17896_2,0.04
23684_1,0.29
14204_0,0.35
24394_1,0.61
16137_0,0.17
11991_4,0.42
11681_2,0.38
18323_0,0.24
25912_0,0.01
14084_1,0.03
10068_3,0.01
25256_15,0.02
13887_0,0.56
19636_1,0.0
10296_4,0.18
18673_1,0.08
15140_0,0.05
17878_8,0.0
28377_0,0.4
13985_7,0.46
19693_0,0.31
18019_2,0.31
25256_11,0.04
14084_5,0.7
18242_0,0.06
11331_2,0.17
24053_3,0.12
15827_0,0.66
13985_3,0.32
20343_1,0.42
22045_8,0.03
10296_0,0.49
16312_0,0.18
14064_0,0.08
14021_0,0.18
11647_0,0.15
17896_6,0.04
19106_0,0.01
13158_0,0.14
27002_0,0.3
20512_0,0.08
20980_0,0.59
14287_2,0.5
25661_1,0.02
10197_0,0.54
11991_0,0.14
15306_3,0.46
10389_2,0.52
17666_0,0.46
11350_3,0.56
19364_6,0.36
23779_0,0.56
14510_0,0.19
10168_2,0.44
14758_8,0.39
23504_1,0.53
14278_0,0.24
23817_0,0.18
12768_0,0.26
13533_2,0.34
10077_0,0.27
16190_3,0.46
16313_13,0.16
22408_9,0.02
14611_0,0.32
11032_0,0.7
14654_0,0.2
26576_0,0.02
14179_0,0.57
10425_6,0.55
15179_0,0.62
20825_0,0.43
20023_0,0.01
22355_0,0.52
15669_0,0.13
20776_0,0.38
12167_2,0.23
12312_17,0.0
650_2,0.76
9948_1,0.61
12411_0,0.0
14840_7,0.12
18026_0,0.68
15750_1,0.29
10136_1,0.51
12205_1,0.44
19026_0,0.62
14200_0,0.13
2254_1,0.6
26085_2,0.42
12384_0,0.72
11678_2,0.28
23659_0,0.29
11256_0,0.07
10868_1,0.05
16558_2,0.61
12165_0,0.59
18202_61,0.24
10256_0,0.72
18202_49,0.28
18777_4,0.65
25464_0,0.2
21696_0,0.18
25256_2,0.04
16461_3,0.58
17890_0,0.2
20416_1,0.56
18985_0,0.67
17972_2,0.4
16911_0,0.27
17972_3,0.16
14488_1,0.27
23008_0,0.15
18985_1,0.48
20453_0,0.08
17890_1,0.08
16461_2,0.65
20416_0,0.52
18496_0,0.35
25256_3,0.04
13435_0,0.02
18202_48,0.11
22309_0,0.17
12165_1,0.11
19589_2,0.65
10256_1,0.64
18202_60,0.27
11868_0,0.11
21383_0,0.04
19797_0,0.58
26085_3,0.03
11678_3,0.41
12384_1,0.57
26437_0,0.49
2254_0,0.67
24029_0,0.56
11930_0,0.21
10136_0,0.49
15750_0,0.09
27043_5,0.76
10173_0,0.62
12205_0,0.52
12411_1,0.0
9948_0,0.0
14840_6,0.54
12312_16,0.0
11237_0,0.02
19919_0,0.11
20776_1,0.03
15669_1,0.37
10237_0,0.39
20825_1,0.41
15179_1,0.62
12651_0,0.19
17037_0,0.28
19411_2,0.75
10562_0,0.64
17831_0,0.11
26576_1,0.13
11032_1,0.01
22408_8,0.04
16313_12,0.46
16190_2,0.58
13533_3,0.7
18773_1,0.26
19710_2,0.41
26767_26,0.01
21602_9,0.58
14758_9,0.04
10168_3,0.12
10948_0,0.17
11350_2,0.7
11991_1,0.27
10197_1,0.57
25661_0,0.1
15118_0,0.05
12201_4,0.0
27002_1,0.04
17896_7,0.01
13158_1,0.66
16506_0,0.08
19106_1,0.08
2208_1,0.31
387_0,0.0
14021_1,0.04
20343_0,0.42
13985_2,0.32
15827_1,0.19
10296_1,0.26
15021_1,0.22
22045_9,0.03
2197_2,0.24
11681_7,0.23
24053_2,0.04
17607_0,0.08
25256_10,0.02
13867_0,0.05
14084_4,0.07
24053_0,0.01
2197_0,0.62
265_0,0.25
11331_1,0.65
15512_1,0.28
18019_1,0.48
20670_0,0.06
25256_12,0.02
20079_4,0.7
25503_1,0.54
2208_3,0.28
15021_3,0.29
10296_3,0.19
13985_0,0.11
16371_0,0.22
13517_0,0.18
20343_2,0.22
19165_0,0.07
11208_0,0.02
14287_1,0.64
25352_0,0.14
13158_3,0.74
18963_0,0.09
17896_5,0.0
28174_0,0.19
22357_1,0.72
11991_3,0.03
15306_0,0.34
18299_0,0.15
10389_1,0.08
13616_0,0.02
19648_0,0.36
10168_1,0.48
28360_38,0.1
10315_0,0.18
11350_0,0.64
26767_18,0.06
19364_5,0.41
11781_0,0.21
13533_1,0.43
23831_0,0.58
28360_10,0.21
10600_1,0.48
26767_24,0.01
17355_1,0.15
17594_19,0.37
11032_3,0.64
12312_9,0.0
11480_0,0.52
16190_0,0.41
16313_10,0.5
16541_0,0.17
23889_0,0.26
19411_0,0.71
17594_25,0.4
2217_4,0.2
15179_3,0.55
10425_5,0.11
18454_0,0.48
12167_1,0.13
21381_0,0.53
18206_12,0.07
11685_1,0.64
15669_3,0.27
14840_4,0.61
19469_0,0.07
13437_0,0.11
650_1,0.5
9948_2,0.73
12312_14,0.0
15750_2,0.27
10136_2,0.26
16150_0,0.24
21339_0,0.0
12384_3,0.58
11678_1,0.65
26085_1,0.15
10897_0,0.01
18202_62,0.34
19589_0,0.62
16558_1,0.72
12165_3,0.45
10048_1,0.38
28334_1,0.18
10720_1,0.5
19675_0,0.11
14752_0,0.39
16883_9,0.0
20416_2,0.46
16461_0,0.67
10171_0,0.33
18688_0,0.37
25256_1,0.03
25743_0,0.33
17972_1,0.21
27470_0,0.51
2256_0,0.22
19574_0,0.56
18985_2,0.63
19574_1,0.15
708_0,0.1
2256_1,0.09
17972_0,0.28
25256_0,0.02
18688_1,0.31
10171_1,0.5
16883_8,0.0
14752_1,0.04
16461_1,0.62
23746_0,0.5
28334_0,0.39
10720_0,0.51
12456_0,0.28
18360_0,0.26
10048_0,0.42
25914_0,0.0
18202_63,0.35
12165_2,0.52
16558_0,0.69
19589_1,0.57
27411_0,0.26
25767_0,0.0
10897_1,0.02
20144_0,0.01
11678_0,0.24
12384_2,0.55
26454_0,0.59
2237_0,0.14
26085_0,0.26
15750_3,0.32
11155_0,0.58
17400_0,0.03
17892_0,0.25
10155_0,0.44
28360_8,0.63
12312_15,0.02
14964_1,0.55
14840_5,0.01
650_0,0.77
21381_1,0.49
15669_2,0.19
138_0,0.0
11685_0,0.77
12167_0,0.22
10425_4,0.47
19411_1,0.74
17594_24,0.12
19629_0,0.1
16817_0,0.16
15179_2,0.56
16313_11,0.23
16190_1,0.55
11480_1,0.64
10269_0,0.42
12312_8,0.0
17594_18,0.19
18141_0,0.7
18947_0,0.1
26767_25,0.0
10600_0,0.66
28360_11,0.44
15860_0,0.11
17355_0,0.32
15023_0,0.26
19710_1,0.03
16355_0,0.22
13533_0,0.5
19364_4,0.41
11168_0,0.24
26767_19,0.01
11350_1,0.77
23504_3,0.6
17478_0,0.57
10168_0,0.39
