dataset,difficulty
23451_0,0.35
14688_14,0.08
23477_3,0.46
14426_2,0.4
14990_6,0.24
25902_0,0.28
12328_0,0.51
20196_13,0.14
10736_0,0.02
14688_28,0.07
14872_4,0.02
26767_1,0.03
14913_0,0.1
23715_0,0.2
22999_2,0.12
14539_0,0.63
20196_4,0.04
12029_0,0.32
15539_0,0.34
18077_0,0.58
10167_1,0.61
28023_0,0.5
21150_2,0.01
22200_1,0.3
12741_0,0.03
14849_2,0.06
13741_0,0.01
25318_0,0.05
18202_19,0.17
25926_1,0.14
14096_3,0.03
17752_0,0.15
27868_0,0.27
10791_7,0.34
16752_0,0.51
18202_25,0.14
11762_8,0.77
13778_4,0.15
15309_0,0.0
17247_1,0.59
12540_5,0.03
15937_1,0.02
16345_6,0.55
18202_31,0.34
15174_1,0.52
18971_5,0.18
14725_0,0.12
17608_2,0.53
19197_0,0.2
15828_3,0.11
20911_0,0.3
14377_7,0.75
15828_2,0.6
20937_2,0.49
11413_0,0.8
16940_0,0.23
13499_0,0.27
10165_2,0.03
14725_1,0.35
18810_0,0.38
17247_0,0.68
15309_1,0.0
10386_0,0.64
18202_30,0.41
15937_0,0.01
12464_0,0.46
12540_4,0.01
11762_9,0.75
18202_24,0.19
13778_5,0.12
10791_6,0.28
14288_0,0.63
20397_0,0.03
18202_18,0.38
27256_0,0.38
21189_2,0.0
17752_1,0.03
14096_2,0.01
22475_0,0.14
25926_0,0.14
13741_1,0.08
21150_3,0.52
22200_0,0.34
12254_0,0.16
17432_0,0.43
20196_5,0.01
10167_0,0.52
18077_1,0.46
12211_0,0.15
23715_1,0.6
14539_1,0.01
22999_3,0.0
19663_0,0.44
14872_5,0.01
26767_0,0.02
20196_12,0.47
10703_8,0.6
15368_0,0.11
14688_29,0.46
10736_1,0.28
14426_3,0.43
23477_2,0.67
10223_0,0.1
12975_3,0.2
10240_3,0.46
14688_15,0.0
15908_2,0.51
12663_3,0.0
9961_0,0.5
17825_0,0.6
22179_0,0.0
21817_2,0.09
21348_7,0.29
13985_10,0.46
137_0,0.07
17184_2,0.08
21567_0,0.2
10806_2,0.1
14688_8,0.07
2238_0,0.08
11677_0,0.07
16179_2,0.57
15054_0,0.14
15485_0,0.8
10677_0,0.62
25181_1,0.02
12857_1,0.03
18237_0,0.61
13955_6,0.06
18202_9,0.29
22510_0,0.58
19171_11,0.42
18113_32,0.01
9945_1,0.07
18113_26,0.09
26991_0,0.07
11552_1,0.59
15642_3,0.0
24158_0,0.11
587_1,0.0
17557_0,0.47
15621_0,0.81
25360_1,0.47
27016_1,0.51
18951_1,0.68
10002_0,0.57
19171_2,0.6
10126_4,0.0
27647_0,0.26
15699_0,0.2
17896_14,0.01
17938_0,0.15
393_0,0.06
15931_6,0.59
16938_0,0.48
707_0,0.57
16267_5,0.56
17896_28,0.24
15506_1,0.56
19048_1,0.53
20312_2,0.17
17896_16,0.03
20371_1,0.52
15931_4,0.05
17749_0,0.58
27836_0,0.27
15642_1,0.01
18113_18,0.04
19171_0,0.56
16749_0,0.65
12331_2,0.75
18113_30,0.0
18113_24,0.0
19254_1,0.01
13955_4,0.06
684_1,0.38
12857_3,0.19
15522_0,0.45
28360_40,0.3
12032_0,0.05
12493_9,0.5
19171_13,0.68
10469_0,0.4
16179_0,0.52
16510_0,0.41
10806_0,0.02
20250_10,0.75
17184_0,0.04
12306_9,0.34
17982_0,0.02
12663_1,0.05
15908_0,0.32
18897_0,0.21
12626_1,0.02
21348_5,0.21
21817_0,0.08
19405_0,0.73
23477_0,0.61
14426_1,0.16
10205_1,0.03
14688_17,0.25
10240_1,0.54
12975_1,0.39
22442_9,0.26
18781_0,0.0
26767_2,0.01
12423_0,0.52
15970_0,0.07
14872_7,0.02
18438_0,0.51
21069_0,0.03
20196_10,0.18
21094_0,0.04
20196_7,0.02
17886_1,0.37
22999_1,0.06
14539_3,0.62
20892_0,0.15
9987_1,0.38
10085_0,0.4
13741_3,0.0
12988_1,0.33
15277_0,0.06
16144_0,0.17
22200_2,0.06
14232_0,0.16
14849_1,0.04
21150_1,0.02
10791_4,0.61
19331_1,0.24
22475_2,0.31
14096_0,0.24
21189_0,0.0
13951_0,0.02
19661_0,0.0
12540_6,0.05
15937_2,0.0
18202_32,0.3
16345_5,0.57
23146_0,0.16
14911_1,0.09
17247_2,0.77
18661_0,0.06
18202_26,0.21
14725_3,0.04
10318_1,0.02
17608_1,0.5
10165_0,0.16
2242_0,0.63
14377_5,0.22
10299_0,0.55
10648_0,0.14
20937_0,0.56
15828_0,0.37
15682_1,0.35
17923_0,0.54
15682_0,0.12
15828_1,0.52
20937_1,0.31
15253_0,0.52
10318_0,0.29
14725_2,0.17
2198_2,0.39
10165_1,0.0
18661_1,0.04
18202_27,0.28
16345_4,0.55
18202_33,0.33
15937_3,0.01
12540_7,0.0
15309_2,0.0
14911_0,0.42
21189_1,0.21
14096_1,0.02
22475_3,0.34
21725_0,0.34
12112_1,0.43
27235_0,0.54
21956_0,0.7
14849_0,0.05
13722_1,0.01
21150_0,0.09
10454_1,0.43
12988_0,0.05
13741_2,0.01
15277_1,0.59
14539_2,0.57
17414_0,0.56
22999_0,0.44
17886_0,0.18
23715_2,0.3
9987_0,0.25
11104_0,0.64
20196_6,0.09
21638_0,0.52
20196_11,0.52
12423_1,0.6
18448_8,0.37
26767_3,0.01
18600_0,0.39
14872_6,0.0
14688_16,0.07
12814_4,0.57
10205_0,0.54
10691_0,0.45
22442_8,0.53
20539_0,0.01
12975_0,0.66
10240_0,0.45
14426_0,0.14
23477_1,0.25
21817_1,0.32
15908_1,0.51
12663_0,0.01
9947_0,0.17
12626_0,0.23
12306_8,0.26
27014_0,0.31
10359_4,0.68
15889_0,0.61
18155_0,0.24
10806_1,0.04
17982_1,0.02
27834_3,0.24
13948_0,0.51
14616_8,0.62
26812_0,0.63
25181_2,0.07
14831_0,0.59
16179_1,0.13
19579_0,0.24
19171_12,0.62
12493_8,0.62
10139_0,0.01
13955_5,0.06
11139_0,0.43
12857_2,0.0
18113_25,0.09
11552_2,0.58
11709_0,0.07
19421_0,0.57
18113_31,0.01
18951_2,0.75
11822_0,0.01
18113_19,0.01
12331_3,0.79
20718_0,0.16
17749_1,0.54
15723_4,0.17
15642_0,0.02
27836_1,0.25
15931_5,0.59
20371_0,0.46
20312_3,0.05
17896_17,0.02
19499_0,0.8
18337_6,0.01
14994_0,0.06
15506_0,0.76
17896_13,0.24
12444_2,0.37
605_0,0.29
13444_2,0.28
22166_0,0.29
11777_2,0.4
25906_2,0.63
12369_2,0.3
11244_0,0.45
18337_2,0.01
16385_0,0.31
19191_0,0.31
10433_2,0.45
18113_35,0.03
23222_0,0.04
14273_1,0.28
21585_0,0.31
27444_0,0.2
18113_21,0.02
18853_1,0.01
18010_1,0.06
17084_0,0.74
10126_3,0.42
19171_5,0.22
16455_0,0.09
17220_0,0.03
13891_0,0.62
23593_1,0.53
15135_3,0.02
26188_0,0.52
10246_2,0.06
11210_8,0.01
12857_6,0.01
11058_0,0.6
24147_0,0.52
13955_1,0.05
23298_2,0.42
19171_16,0.61
10489_0,0.01
12116_1,0.5
17164_0,0.11
10474_0,0.49
14212_0,0.23
21348_0,0.44
21817_5,0.05
16319_1,0.2
13396_0,0.52
21799_0,0.08
565_1,0.11
11124_1,0.13
21420_0,0.04
18877_0,0.0
17649_0,0.33
10359_0,0.73
14872_2,0.01
18724_0,0.39
26767_7,0.02
22805_0,0.6
10098_0,0.46
20196_15,0.12
19761_0,0.01
14426_4,0.04
275_1,0.02
14196_0,0.57
12975_4,0.12
22516_1,0.0
18009_0,0.16
12814_0,0.62
14688_12,0.0
17689_0,0.02
21150_4,0.08
11570_1,0.27
20196_2,0.32
15458_2,0.61
14646_0,0.35
10826_0,0.26
15646_0,0.55
10218_1,0.09
16138_1,0.08
12540_10,0.01
12540_3,0.0
16794_0,0.3
18202_37,0.09
16345_0,0.05
18202_23,0.18
13778_2,0.08
17345_0,0.59
10284_0,0.22
12036_1,0.61
10178_0,0.54
14526_1,0.13
22475_7,0.27
680_0,0.02
19401_1,0.52
10983_0,0.38
18639_0,0.23
9943_0,0.2
10185_0,0.36
17044_0,0.32
12622_0,0.01
10490_1,0.18
14725_6,0.17
11802_1,0.04
13909_0,0.6
15601_2,0.01
11802_0,0.16
15601_3,0.01
13909_1,0.59
23899_0,0.42
11004_0,0.65
10490_0,0.35
14725_7,0.31
15828_4,0.54
18639_1,0.79
22326_0,0.52
17044_1,0.52
10185_1,0.52
19401_0,0.52
14377_1,0.49
23363_0,0.5
14526_0,0.14
11340_0,0.58
24067_1,0.02
15738_2,0.69
14096_4,0.08
22475_6,0.25
10791_0,0.24
12036_0,0.44
22027_0,0.08
18202_22,0.31
13778_3,0.04
15972_6,0.64
16138_0,0.19
16345_1,0.68
18202_36,0.22
12540_2,0.05
27034_0,0.0
10218_0,0.51
22999_5,0.44
17984_2,0.72
20196_3,0.29
14353_0,0.05
21150_5,0.21
11570_0,0.5
21209_0,0.39
11307_2,0.49
12975_5,0.24
14688_13,0.62
12814_1,0.68
22516_0,0.01
14426_5,0.41
14990_1,0.22
2187_0,0.01
14196_1,0.54
275_0,0.15
20196_14,0.21
558_0,0.16
14872_3,0.02
10098_1,0.54
15854_0,0.01
26767_6,0.04
18877_1,0.01
24260_2,0.77
11124_0,0.17
11359_1,0.06
19249_0,0.66
21420_1,0.21
17944_2,0.75
565_0,0.11
13396_1,0.2
16319_0,0.09
21817_4,0.06
17164_1,0.15
18564_0,0.04
15908_4,0.31
10609_0,0.24
20933_0,0.11
17319_0,0.23
19171_17,0.36
10489_1,0.18
598_0,0.29
10246_3,0.02
13955_0,0.08
24147_1,0.42
23593_0,0.66
13891_1,0.72
19620_0,0.75
26188_1,0.0
15135_2,0.63
12097_1,0.38
16628_0,0.51
19171_4,0.71
10126_2,0.0
13848_0,0.07
18010_0,0.1
10100_1,0.57
17591_0,0.34
18113_20,0.02
18113_34,0.04
13763_0,0.8
21585_1,0.32
14273_0,0.21
23222_1,0.0
16529_0,0.1
25906_3,0.6
10714_0,0.51
15931_0,0.26
11777_3,0.3
605_1,0.14
19479_0,0.23
17896_12,0.0
11777_1,0.61
15931_2,0.03
10714_2,0.5
666_0,0.01
17896_10,0.08
12444_1,0.5
15441_0,0.53
25906_1,0.74
16737_0,0.4
2244_0,0.64
19566_0,0.02
18113_36,0.07
10433_1,0.42
12394_1,0.05
10126_0,0.0
17436_0,0.57
10965_0,0.33
19171_6,0.18
12681_0,0.69
15135_0,0.02
23593_2,0.34
11753_0,0.42
11878_0,0.51
10489_3,0.57
23298_1,0.17
19171_15,0.26
19356_0,0.02
13955_2,0.0
10246_1,0.28
18787_0,0.17
12857_5,0.36
21817_6,0.53
16319_2,0.29
17944_0,0.75
10359_3,0.56
21443_0,0.04
26955_0,0.15
21420_3,0.02
9981_1,0.33
18814_0,0.01
18702_0,0.82
20196_16,0.61
11612_1,0.05
26767_4,0.0
14872_1,0.03
14688_39,0.0
16652_0,0.17
12814_3,0.63
14688_11,0.15
12975_7,0.13
11307_0,0.52
12034_0,0.2
14426_7,0.22
11570_2,0.34
21483_0,0.24
19446_0,0.05
19582_1,0.23
14458_1,0.56
20196_1,0.03
17984_0,0.57
15458_1,0.21
13778_1,0.4
16313_9,0.52
18202_20,0.3
13997_0,0.04
16363_0,0.23
14015_0,0.69
12540_0,0.01
16345_3,0.44
18202_34,0.29
15937_4,0.01
15738_0,0.69
24004_0,0.18
12036_2,0.61
277_0,0.63
19401_2,0.47
25340_0,0.24
15601_1,0.03
14725_5,0.51
14725_4,0.24
13909_2,0.02
19401_3,0.47
14377_2,0.64
10185_2,0.52
23794_0,0.57
13816_0,0.25
14194_0,0.28
10366_0,0.19
16345_2,0.62
12540_1,0.16
16313_8,0.52
13778_0,0.06
18202_21,0.23
17984_1,0.63
20196_0,0.45
14458_0,0.56
13741_4,0.12
16497_0,0.52
17805_0,0.01
12034_1,0.19
14990_2,0.24
14426_6,0.03
20646_0,0.29
14688_10,0.0
26313_0,0.06
12814_2,0.23
16652_1,0.28
11307_1,0.13
12975_6,0.12
10098_2,0.36
26767_5,0.0
11612_0,0.21
14688_38,0.03
14872_0,0.01
18702_1,0.59
12564_0,0.57
20196_17,0.55
15764_0,0.54
21420_2,0.0
9981_0,0.34
10359_2,0.68
11941_0,0.25
26955_1,0.58
17164_2,0.01
16319_3,0.37
21817_7,0.04
21348_2,0.27
17944_1,0.84
13955_3,0.04
12857_4,0.02
10246_0,0.22
26829_0,0.29
10489_2,0.07
11878_1,0.76
19356_1,0.43
19171_14,0.03
23298_0,0.03
15135_1,0.02
12658_0,0.08
23593_3,0.41
21467_0,0.68
15723_2,0.0
15578_0,0.49
19171_7,0.4
10126_1,0.0
23222_2,0.34
12394_0,0.59
17960_0,0.46
10433_0,0.61
18113_37,0.01
18113_23,0.01
15191_23,0.29
21723_0,0.0
12369_0,0.56
25906_0,0.64
20312_5,0.01
10732_0,0.35
12444_0,0.24
17896_11,0.06
23378_0,0.29
11777_0,0.36
16222_0,0.2
10220_0,0.67
19782_2,0.53
11681_9,0.23
14891_0,0.31
14446_0,0.46
21188_0,0.08
22045_7,0.07
17878_3,0.25
11199_0,0.42
11548_0,0.37
25256_22,0.09
10611_5,0.26
27721_0,0.04
10199_0,0.05
18660_0,0.02
10927_0,0.01
10164_0,0.01
17896_9,0.0
18209_0,0.56
27799_0,0.1
13212_0,0.57
17885_3,0.06
26170_1,0.26
14747_0,0.53
18113_44,0.01
12519_3,0.45
16967_1,0.27
11298_0,0.65
16161_1,0.01
18524_0,0.6
16569_0,0.11
24166_0,0.67
16751_1,0.02
26767_14,0.09
11241_1,0.41
14758_7,0.24
21602_7,0.38
20068_0,0.1
15934_0,0.54
10711_0,0.42
20250_1,0.25
15971_0,0.02
10754_0,0.6
25084_2,0.15
14971_0,0.13
14132_0,0.29
14726_1,0.45
22408_6,0.15
12255_2,0.65
23732_0,0.59
12312_5,0.0
17594_15,0.36
16313_20,0.68
17594_0,0.13
10084_0,0.01
10455_0,0.44
2204_2,0.16
10436_3,0.41
11084_0,0.29
13870_0,0.71
14523_0,0.34
15778_2,0.13
10138_1,0.5
21622_2,0.12
10300_0,0.04
21817_11,0.33
12870_0,0.25
2239_2,0.66
19740_0,0.04
704_0,0.35
14840_8,0.38
18487_6,0.21
26050_1,0.64
11807_0,0.87
10001_0,0.32
18090_0,0.01
16067_2,0.15
18896_0,0.36
11769_0,0.21
26500_0,0.05
14909_0,0.02
19404_0,0.0
15193_1,0.12
18310_4,0.28
16671_1,0.07
16240_4,0.31
18202_46,0.25
13547_0,0.02
14814_0,0.63
18202_52,0.22
22043_1,0.04
28260_0,0.03
11805_2,0.04
27872_0,0.3
16883_5,0.19
11689_0,0.05
16748_0,0.29
18113_3,0.04
20486_2,0.41
13646_0,0.41
13458_2,0.2
17863_0,0.49
13458_3,0.55
20486_3,0.26
16883_4,0.01
18113_2,0.04
11689_1,0.05
12353_0,0.42
19156_2,0.45
10060_0,0.81
22043_0,0.14
18202_53,0.17
10409_0,0.01
28058_0,0.1
16793_2,0.26
23492_0,0.17
13547_1,0.11
18202_47,0.11
16634_0,0.21
16671_0,0.0
15193_0,0.0
23535_2,0.55
14909_1,0.12
16067_3,0.1
10986_0,0.63
10239_0,0.56
19111_0,0.18
584_0,0.1
16729_0,0.02
26050_0,0.61
15641_2,0.39
19740_1,0.01
21602_10,0.52
10281_0,0.34
2239_3,0.53
28360_4,0.57
10300_1,0.14
21622_3,0.01
10138_0,0.43
21817_10,0.04
25062_0,0.01
10436_2,0.18
28279_0,0.43
16313_21,0.61
2204_3,0.64
10084_1,0.03
17594_1,0.12
17594_14,0.08
12312_4,0.0
22408_7,0.06
14726_0,0.31
18076_2,0.01
16415_0,0.17
19309_4,0.13
21681_0,0.3
25084_3,0.38
19725_4,0.13
20250_0,0.7
10711_1,0.24
15934_1,0.61
10754_1,0.07
15971_1,0.04
14758_6,0.4
15427_0,0.5
20538_0,0.31
21602_6,0.55
11241_0,0.08
16751_0,0.04
26767_15,0.0
28360_21,0.45
28065_0,0.44
12742_0,0.0
16967_0,0.61
12519_2,0.23
18113_45,0.04
16788_1,0.09
19388_0,0.01
16161_0,0.01
17885_2,0.14
13212_1,0.27
19074_0,0.06
14747_1,0.44
18209_1,0.4
13234_2,0.42
17896_8,0.0
10199_1,0.21
27721_1,0.07
22045_6,0.03
14910_0,0.35
27393_2,0.65
25256_23,0.11
17878_2,0.05
24142_0,0.0
11681_8,0.24
22083_0,0.47
20724_0,0.61
19782_3,0.19
13976_2,0.65
10243_0,0.1
15425_0,0.31
17716_0,0.14
13976_0,0.37
19782_1,0.18
26212_1,0.21
14460_0,0.36
13933_0,0.61
16716_0,0.42
13170_0,0.32
10199_3,0.06
11756_1,0.21
10611_6,0.57
14308_0,0.1
17878_0,0.08
25256_21,0.03
18762_4,0.0
22045_4,0.03
9979_0,0.44
18811_1,0.52
10142_0,0.17
26170_2,0.15
10593_0,0.28
10944_0,0.02
17885_0,0.39
13234_0,0.13
19196_0,0.4
16161_2,0.01
18990_0,0.06
16788_3,0.25
12519_0,0.19
21602_4,0.16
12329_0,0.47
26767_17,0.02
16751_2,0.02
25946_0,0.0
17227_0,0.48
12679_1,0.77
25084_1,0.09
15971_3,0.01
10754_3,0.33
16227_0,0.02
15934_3,0.78
20250_2,0.78
19076_0,0.02
11123_1,0.08
12312_6,0.0
17594_16,0.17
18076_0,0.23
14726_2,0.14
22408_5,0.07
12255_1,0.66
10436_0,0.56
17594_3,0.31
2204_1,0.19
16313_23,0.62
14191_0,0.0
16673_0,0.29
10138_2,0.54
12813_0,0.25
12493_10,0.35
19740_3,0.07
23041_0,0.12
2239_1,0.19
15641_0,0.21
12169_1,0.15
10062_0,0.63
18487_5,0.12
10821_0,0.13
10507_8,0.01
22408_14,0.15
23178_1,0.64
16067_1,0.44
19467_0,0.0
23305_0,0.53
16671_2,0.01
17736_5,0.2
20606_0,0.19
23535_0,0.56
13837_1,0.03
15193_2,0.09
16793_0,0.09
11283_0,0.48
18202_51,0.27
14832_0,0.6
10652_0,0.12
18202_45,0.19
11689_3,0.06
18113_0,0.03
15665_1,0.19
16883_6,0.02
586_0,0.0
26052_0,0.23
19156_0,0.03
11805_1,0.23
16800_0,0.01
13458_1,0.14
10182_0,0.27
28102_0,0.69
22078_4,0.63
12625_0,0.31
21071_2,0.0
17800_0,0.04
15335_0,0.62
18894_1,0.01
20814_1,0.03
20486_1,0.52
22364_0,0.04
10182_1,0.07
20486_0,0.59
20814_0,0.05
13458_0,0.56
11805_0,0.82
19156_1,0.0
10003_0,0.08
15665_0,0.47
18113_1,0.0
11689_2,0.04
16883_7,0.16
18202_44,0.22
16793_1,0.02
14698_0,0.23
18202_50,0.15
13837_0,0.43
23535_1,0.63
17736_4,0.2
18869_0,0.39
10302_0,0.09
16067_0,0.37
23305_1,0.38
14909_2,0.02
20566_0,0.02
15641_1,0.25
18487_4,0.53
26835_0,0.06
28360_7,0.22
23279_0,0.27
2239_0,0.33
12545_0,0.4
19740_2,0.13
15778_0,0.24
12493_11,0.3
21667_0,0.22
10300_2,0.02
21622_0,0.25
10138_3,0.23
2204_0,0.13
21177_0,0.0
21934_0,0.25
17594_2,0.11
16313_22,0.2
10436_1,0.43
17476_0,0.0
18076_1,0.37
12028_1,0.02
12255_0,0.35
22408_4,0.05
14726_3,0.55
11925_0,0.04
14700_0,0.64
17594_17,0.25
12312_7,0.0
11123_0,0.23
663_0,0.26
10754_2,0.18
15971_2,0.0
20250_3,0.03
15934_2,0.22
15369_0,0.39
12679_0,0.68
25882_0,0.53
25084_0,0.09
26767_16,0.0
16751_3,0.02
10222_0,0.51
28360_22,0.47
11267_0,0.19
21602_5,0.21
14758_5,0.18
16161_3,0.01
28006_0,0.1
12519_1,0.29
22058_0,0.01
11457_0,0.66
18209_2,0.3
13234_1,0.56
19483_0,0.51
19854_0,0.13
10142_1,0.18
18811_0,0.08
20891_0,0.54
17885_1,0.48
25256_20,0.03
10713_0,0.59
17878_1,0.2
25649_0,0.3
22045_5,0.05
20948_4,0.62
10199_2,0.02
11713_0,0.17
21829_0,0.52
23788_0,0.01
14308_1,0.29
11756_0,0.57
26212_0,0.39
19782_0,0.57
13976_1,0.41
16716_1,0.47
14084_8,0.64
10611_3,0.44
14014_0,0.62
16327_0,0.12
20948_0,0.52
18762_1,0.08
22045_1,0.03
15051_0,0.38
22238_0,0.21
12541_0,0.2
25256_24,0.05
16632_1,0.62
14739_0,0.01
25256_18,0.14
19463_1,0.02
18113_42,0.05
9964_0,0.11
15781_0,0.11
12291_0,0.18
10536_0,0.37
18133_0,0.55
25341_0,0.47
12128_0,0.43
23280_0,0.62
19725_3,0.07
20250_7,0.46
13718_0,0.82
19397_0,0.77
10754_6,0.33
14758_1,0.22
13035_0,0.07
14525_0,0.05
21602_1,0.51
26312_1,0.28
26767_12,0.03
15560_0,0.05
10343_0,0.29
12419_0,0.57
18402_0,0.47
10436_5,0.0
17594_6,0.11
12607_2,0.18
17061_2,0.66
23630_1,0.59
12312_3,0.0
17594_13,0.47
21503_1,0.6
19152_1,0.62
22408_0,0.06
12371_0,0.58
10042_0,0.6
10801_0,0.54
21560_2,0.02
19740_6,0.05
12424_0,0.34
20868_0,0.15
643_1,0.05
21622_4,0.0
16712_1,0.57
15669_9,0.38
10202_1,0.18
12384_9,0.62
14868_2,0.15
22408_11,0.33
13725_0,0.55
16067_4,0.16
11103_1,0.0
26911_0,0.07
17087_1,0.04
18487_0,0.53
22771_0,0.53
10905_1,0.24
18850_0,0.32
27583_0,0.16
10940_1,0.21
18202_54,0.2
19889_1,0.38
667_0,0.43
21272_0,0.29
23902_0,0.0
16240_2,0.56
10999_0,0.02
18202_40,0.19
10263_0,0.38
18202_68,0.22
19784_2,0.39
17736_0,0.21
18310_2,0.34
11226_0,0.54
13458_4,0.62
11080_2,0.52
25715_0,0.44
16141_2,0.78
22078_1,0.64
20975_0,0.17
16883_3,0.01
25694_1,0.31
10436_11,0.12
18113_5,0.01
21466_1,0.02
24038_0,0.42
21466_0,0.12
25694_0,0.49
16883_2,0.03
18113_4,0.05
15390_1,0.25
10436_10,0.56
17122_0,0.01
11080_3,0.6
22078_0,0.58
14254_0,0.02
18310_3,0.09
18202_69,0.35
17736_1,0.2
15091_1,0.04
20809_0,0.05
16240_3,0.73
18202_41,0.35
19889_0,0.31
18202_55,0.17
17087_0,0.02
18487_1,0.41
26972_2,0.07
10940_0,0.54
27583_1,0.07
18850_1,0.02
10103_0,0.27
17881_0,0.23
24059_0,0.72
11103_0,0.31
11416_1,0.48
22408_10,0.17
12384_8,0.68
15499_0,0.23
25789_0,0.72
12972_0,0.62
10202_0,0.17
15669_8,0.19
16757_0,0.01
643_0,0.26
28360_2,0.44
19293_0,0.41
9938_0,0.33
18607_0,0.56
19740_7,0.02
22165_0,0.62
12424_1,0.44
22408_1,0.4
10042_1,0.47
17594_12,0.09
21546_0,0.46
12312_2,0.01
19152_0,0.63
26850_0,0.27
21503_0,0.6
13664_0,0.5
11512_0,0.11
16841_0,0.02
17061_3,0.67
17594_7,0.1
12419_1,0.58
10436_4,0.03
18402_1,0.52
15179_8,0.52
15560_1,0.02
26767_13,0.0
28360_27,0.68
14758_0,0.29
26312_0,0.03
19397_1,0.77
13718_1,0.73
20250_6,0.16
23275_16,0.34
10754_7,0.44
19725_2,0.13
18115_2,0.05
23280_1,0.41
17885_4,0.23
18133_1,0.15
25341_1,0.48
18113_43,0.04
10536_1,0.44
16161_6,0.01
18426_0,0.51
19463_0,0.1
21077_0,0.03
16632_0,0.44
25256_19,0.38
14739_1,0.37
18277_1,0.15
22045_0,0.0
18762_0,0.34
25256_25,0.12
11285_2,0.54
17878_4,0.08
17878_6,0.18
11285_0,0.54
13985_9,0.11
20948_3,0.57
18762_2,0.56
22045_2,0.04
14014_3,0.62
12037_1,0.22
17280_1,0.02
16632_2,0.5
26784_0,0.7
639_0,0.5
16806_0,0.21
11184_0,0.04
16161_4,0.0
13666_0,0.24
18113_41,0.02
27817_0,0.47
18115_0,0.03
26170_4,0.1
23677_0,0.26
20331_0,0.27
10754_5,0.27
25512_0,0.0
20250_4,0.2
11448_0,0.2
19725_0,0.11
21088_0,0.51
26767_11,0.0
16751_4,0.0
21602_2,0.21
26312_2,0.62
28360_31,0.37
14758_2,0.12
17594_5,0.37
12607_1,0.18
17061_1,0.36
25656_0,0.32
16313_25,0.03
11749_0,0.23
10436_6,0.09
11398_0,0.55
14929_0,0.69
21560_1,0.02
22408_3,0.23
14602_0,0.02
23282_1,0.45
16313_19,0.61
19152_2,0.09
10064_0,0.82
12312_0,0.02
17594_10,0.15
17221_0,0.33
20048_0,0.0
28360_0,0.25
19740_5,0.26
15349_2,0.19
16549_0,0.65
23881_0,0.59
16712_2,0.33
20932_1,0.1
22408_12,0.21
15256_0,0.04
13746_0,0.13
14868_1,0.22
19070_0,0.0
10940_2,0.54
26972_0,0.24
17087_2,0.02
18487_3,0.53
26174_0,0.53
11103_2,0.01
17299_0,0.0
12828_0,0.84
18202_43,0.19
16240_1,0.06
18202_57,0.12
22167_0,0.17
19889_2,0.3
10245_0,0.26
18310_1,0.45
19784_1,0.01
17736_3,0.21
22078_2,0.62
21584_0,0.12
11080_1,0.3
16141_1,0.31
19541_0,0.0
11451_1,0.14
17972_8,0.29
25776_0,0.4
18190_0,0.25
25256_8,0.01
10144_0,0.13
17085_0,0.22
16461_9,0.61
18113_6,0.04
11907_0,0.11
16883_0,0.0
11907_1,0.23
18113_7,0.02
16461_8,0.62
26150_0,0.02
16883_1,0.03
17085_1,0.49
25256_9,0.13
10101_1,0.53
17972_9,0.33
28494_0,0.52
18779_0,0.25
22078_3,0.64
16141_0,0.43
19541_1,0.01
11080_0,0.34
17736_2,0.21
19784_0,0.39
16634_5,0.52
26680_0,0.43
25921_0,0.67
18310_0,0.21
18202_56,0.32
18202_42,0.18
16240_0,0.06
17299_1,0.02
11103_3,0.01
10966_0,0.28
26972_1,0.3
10940_3,0.01
18850_2,0.36
19070_1,0.04
11966_0,0.45
18487_2,0.65
14868_0,0.24
22408_13,0.54
20932_0,0.06
22207_0,0.38
25383_0,0.71
12583_0,0.56
14407_0,0.1
21270_0,0.11
19740_4,0.13
20048_1,0.04
10219_0,0.13
17594_11,0.5
22653_0,0.36
12312_1,0.01
21560_0,0.02
16313_18,0.27
23282_0,0.52
14602_1,0.01
22408_2,0.03
10436_7,0.11
19288_0,0.18
16867_0,0.49
658_0,0.02
17061_0,0.03
12607_0,0.08
17594_4,0.11
16313_24,0.44
22978_0,0.49
28360_30,0.21
26312_3,0.29
21602_3,0.17
15560_2,0.05
26767_10,0.01
13994_0,0.25
16360_0,0.38
19725_1,0.05
10754_4,0.65
15971_4,0.0
28360_18,0.45
20250_5,0.57
15934_4,0.66
13336_0,0.35
18115_1,0.1
23280_2,0.34
12889_0,0.31
28379_0,0.34
10536_2,0.42
16161_5,0.01
16806_1,0.22
21812_0,0.18
18113_40,0.05
13666_1,0.49
10304_0,0.4
17280_0,0.46
12037_0,0.35
10429_0,0.58
14014_2,0.54
18701_0,0.21
10611_1,0.14
28078_0,0.39
25256_26,0.09
13985_8,0.16
11285_1,0.37
17878_7,0.1
22045_3,0.03
18762_3,0.29
20948_2,0.28
18824_0,0.3
18808_9,0.12
11738_2,0.32
10943_0,0.7
19639_0,0.52
15723_5,0.64
25040_4,0.22
14410_0,0.02
18971_13,0.3
14964_0,0.38
18627_0,0.67
11395_5,0.62
14886_1,0.1
19756_0,0.01
633_0,0.04
16656_0,0.68
11485_0,0.36
11664_1,0.55
13386_0,0.06
28000_6,0.23
18012_4,0.65
10632_8,0.02
11593_0,0.09
11178_25,0.29
16330_0,0.51
